TenThuoc,HoatChat,SoLo,HanDung,TonKho,DonViTinh,TonToiThieu,NhaCungCap,NhaSanXuat,NuocSanXuat,SoDangKy,GiaNhap,GiaBan,ViTri,TrangThai
Paracetamol 500mg,Paracetamol,PCL500-01,31/12/2027,250,Hộp,50,Công ty Dược Hậu Giang,DHG Pharma,Việt Nam,VD-12345-21,45000,55000,Tủ A - Kệ 1,Còn hàng
Amoxicillin 500mg,Amoxicillin,AMX500-05,31/08/2026,45,Hộp,50,Công ty Cổ phần Traphaco,Traphaco,Việt Nam,VD-23456-22,85000,105000,Tủ A - Kệ 2,Sắp hết hàng
Berberin 10mg,Berberin,BBR10-11,30/06/2028,500,Chai,100,Công ty Dược phẩm OPC,OPC,Việt Nam,VD-34567-23,15000,22000,Tủ B - Kệ 1,Còn hàng
Panadol Extra,Paracetamol & Caffeine,PND-E-02,28/02/2027,180,Hộp,40,GlaxoSmithKline (GSK),GSK,Anh,VN-11223-19,98000,120000,Tủ A - Kệ 1,Còn hàng
Efferalgan 500mg,Paracetamol,EFR500-09,31/07/2025,120,Hộp,30,Bristol-Myers Squibb,UPSA SAS,Pháp,VN-44556-20,35000,48000,Tủ A - Kệ 1,Sắp hết hạn
Decolgen Forte,Paracetamol & Phenylpropanolamine,DCL-F-21,30/04/2028,300,Hộp,50,United Pharma,United Pharma,Việt Nam,VD-56789-21,65000,80000,Tủ C - Kệ 3,Còn hàng
Tiffy Dey,Paracetamol & Chlorpheniramine,TFY-D-15,31/05/2026,210,Hộp,40,Thái Nakorn Patana,Thái Nakorn Patana,Thái Lan,VN-77889-22,40000,52000,Tủ C - Kệ 3,Còn hàng
Strepsils Original,Amylmetacresol & Dichlorobenzyl alcohol,STP-O-01,31/03/2027,150,Hộp,30,Reckitt Benckiser,Reckitt Benckiser,Anh,VN-99001-23,25000,35000,Kệ D - Ngăn 1,Còn hàng
Phosphalugel,Aluminium phosphate,PHG-L-08,30/11/2026,90,Hộp,25,Sanofi,Sanofi,Pháp,VN-12121-19,88000,110000,Tủ B - Kệ 2,Còn hàng
Smecta,Diosmectite,SMC-T-04,31/10/2027,75,Hộp,20,Beaufour Ipsen Industrie,Beaufour Ipsen,Pháp,VN-34343-20,110000,135000,Tủ B - Kệ 2,Còn hàng
Cataflam 50mg,Diclofenac,CTF50-07,31/01/2026,60,Hộp,20,Novartis,Novartis,Thụy Sĩ,VN-56565-21,55000,70000,Tủ A - Kệ 3,Còn hàng
Alaxan,Ibuprofen & Paracetamol,ALX-N-19,30/09/2027,190,Hộp,40,United Pharma,United Pharma,Việt Nam,VD-78787-22,30000,42000,Tủ A - Kệ 3,Còn hàng
Klamentin 625mg,Amoxicillin & Clavulanic acid,KLM625-03,31/05/2025,30,Hộp,30,Dược Hậu Giang,DHG Pharma,Việt Nam,VD-90909-23,180000,210000,Tủ A - Kệ 2,Hết hạn
Cetirizin 10mg,Cetirizine,CTZ10-12,31/12/2028,400,Hộp,50,Stada,Stada,Đức,VN-24680-20,28000,40000,Tủ C - Kệ 4,Còn hàng
Loratadin 10mg,Loratadine,LRT10-06,30/11/2028,350,Hộp,50,Dược Hậu Giang,DHG Pharma,Việt Nam,VD-13579-21,25000,38000,Tủ C - Kệ 4,Còn hàng
Medrol 16mg,Methylprednisolone,MDR16-01,31/08/2025,55,Hộp,20,Pfizer,Pfizer,Mỹ,VN-11335-19,150000,180000,Tủ A - Kệ 4,Sắp hết hạn
Salbutamol 2mg,Salbutamol,SLB2-08,31/07/2026,80,Hộp,25,Công ty Cổ phần Dược phẩm TV.PHARM,TV.PHARM,Việt Nam,VD-22446-22,18000,25000,Tủ C - Kệ 1,Còn hàng
Omeprazol 20mg,Omeprazole,OMP20-14,30/04/2027,130,Hộp,30,AstraZeneca,AstraZeneca,Anh,VN-66880-21,250000,310000,Tủ B - Kệ 3,Còn hàng
Vitamin C 500mg,Ascorbic Acid,VTC500-18,31/03/2028,600,Chai,100,Công ty Cổ phần Dược phẩm Imexpharm,Imexpharm,Việt Nam,VD-11223-19,20000,28000,Kệ D - Ngăn 2,Còn hàng
Eugica,Eucalyptol & Menthol,EGC-F-09,31/10/2026,220,Hộp,50,Công ty Cổ phần Dược Hậu Giang,DHG Pharma,Việt Nam,VD-33445-20,35000,45000,Kệ D - Ngăn 1,Còn hàng
