Tên thuốc,Hoạt chất,Hàm lượng,Dạng bào chế,Đơn vị tính,Nhà sản xuất,Nước sản xuất,Số đăng ký,Nhà cung cấp,Giá nhập,Giá bán,Vị trí kho,Ngưỡng tồn kho,Số lô,Ngày hết hạn,Tồn kho
Paracetamol 500mg,Paracetamol,500mg,Viên nén,Viên,Công ty TNHH Dược phẩm Traphaco,Việt Nam,VD-18533-15,Công ty CP Dược phẩm Hà Tây,1200,1800,Tủ A - Kệ 1 - Ngăn 2,50,B0123,2025-12-31,150
Amoxicillin 250mg,Amoxicillin,250mg,Viên nang,Viên,Công ty CP Dược Hậu Giang,Việt Nam,VD-19284-16,Công ty CP Dược phẩm Hà Tây,2500,3500,Tủ B - Kệ 2 - Ngăn 1,30,B0124,2025-11-15,80
Vitamin C 1000mg,Acid ascorbic,1000mg,Viên sủi,Viên,Công ty TNHH Dược phẩm Imexpharm,Việt Nam,VD-20156-17,Công ty CP Dược phẩm Miền Nam,800,1200,Tủ C - Kệ 1 - Ngăn 3,100,B0125,2026-03-20,200
Ibuprofen 400mg,Ibuprofen,400mg,Viên nén bao phim,Viên,Công ty CP Dược phẩm Mediplantex,Việt Nam,VD-17892-14,Công ty CP Dược phẩm Trung ương 1,1800,2800,Tủ A - Kệ 3 - Ngăn 1,40,B0126,2025-08-10,60
Cetirizine 10mg,Cetirizine HCl,10mg,Viên nén bao phim,Viên,Công ty TNHH Dược phẩm Boston,Việt Nam,VD-21045-18,Công ty CP Dược phẩm Hà Tây,1500,2200,Tủ B - Kệ 1 - Ngăn 2,25,B0127,2025-10-05,45
Metformin 500mg,Metformin HCl,500mg,Viên nén bao phim,Viên,Công ty CP Dược phẩm Zentiva,Việt Nam,VD-18765-15,Công ty CP Dược phẩm Miền Bắc,900,1400,Tủ C - Kệ 2 - Ngăn 1,60,B0128,2026-01-18,120
Omeprazole 20mg,Omeprazole,20mg,Viên nang,Viên,Công ty TNHH Dược phẩm Stada,Việt Nam,VD-19567-16,Công ty CP Dược phẩm Trung ương 2,3200,4500,Tủ A - Kệ 2 - Ngăn 3,20,B0129,2025-09-22,35
Aspirin 100mg,Acid acetylsalicylic,100mg,Viên nén,Viên,Công ty CP Dược phẩm Pymepharco,Việt Nam,VD-16789-13,Công ty CP Dược phẩm Hà Tây,600,950,Tủ B - Kệ 3 - Ngăn 2,80,B0130,2025-07-14,95
Loratadine 10mg,Loratadine,10mg,Viên nén,Viên,Công ty TNHH Dược phẩm Domesco,Việt Nam,VD-20234-17,Công ty CP Dược phẩm Miền Nam,1100,1650,Tủ C - Kệ 1 - Ngăn 1,35,B0131,2025-12-08,70
Simvastatin 20mg,Simvastatin,20mg,Viên nén bao phim,Viên,Công ty CP Dược phẩm Pharmedic,Việt Nam,VD-18456-15,Công ty CP Dược phẩm Trung ương 1,2800,4200,Tủ A - Kệ 1 - Ngăn 1,15,B0132,2026-02-28,25
